x,y,value,discipline,country
Aaron Levine,Sep 1-15,4,2,7
Aaron Levine,Sep 16-30,7,2,7
Aaron Levine,Oct 1-15,11,2,7
Aaron Levine,Oct 16-31,17,2,7
Aaron Levine,Nov 1-15,5,2,7
Aaron Levine,Nov 15-30,2,2,7
Aaron Levine,Dec 1-15,6,2,7
Aaron Levine,Dec 16-31,4,2,7
Aaron Levine,Jan 1-15,6,2,7
Aaron Levine,Jan 16-31,4,2,7
Aaron Levine,Feb 1-14,4,2,7
Aaron Levine,Feb 15-28,7,2,7
Aaron Levine,Mar 1-15,11,2,7
Aaron Levine,Mar 16-31,17,2,7
Aaron Levine,Apr 1-15,5,2,7
Aaron Levine,Apr 16-30,2,2,7
Aaron Levine,May 1-now,6,2,7
Ashley Adams,Sep 1-15,1,1,7
Ashley Adams,Sep 16-30,8,1,7
Ashley Adams,Oct 1-15,9,1,7
Ashley Adams,Oct 16-31,3,1,7
Ashley Adams,Nov 1-15,10,1,7
Ashley Adams,Nov 15-30,2,1,7
Ashley Adams,Dec 1-15,13,1,7
Ashley Adams,Dec 16-31,10,1,7
Ashley Adams,Jan 1-15,13,1,7
Ashley Adams,Jan 16-31,10,1,7
Ashley Adams,Feb 1-14,4,2,7
Ashley Adams,Feb 15-28,7,2,7
Ashley Adams,Mar 1-15,11,2,7
Ashley Adams,Mar 16-31,17,2,7
Ashley Adams,Apr 1-15,5,2,7
Ashley Adams,Apr 16-30,2,2,7
Ashley Adams,May 1-now,6,2,7
Bo Peng,Sep 1-15,2,1,1
Bo Peng,Sep 16-30,5,1,1
Bo Peng,Oct 1-15,6,1,1
Bo Peng,Oct 16-31,4,1,1
Bo Peng,Nov 1-15,7,1,1
Bo Peng,Nov 15-30,20,1,1
Bo Peng,Dec 1-15,18,1,1
Bo Peng,Dec 16-31,11,1,1
Bo Peng,Jan 1-15,18,1,1
Bo Peng,Jan 16-31,11,1,1
Bo Peng,Feb 1-14,4,2,7
Bo Peng,Feb 15-28,7,2,7
Bo Peng,Mar 1-15,11,2,7
Bo Peng,Mar 16-31,17,2,7
Bo Peng,Apr 1-15,5,2,7
Bo Peng,Apr 16-30,2,2,7
Bo Peng,May 1-now,6,2,7
Buge Jiang,Sep 1-15,3,1,1
Buge Jiang,Sep 16-30,2,1,1
Buge Jiang,Oct 1-15,5,1,1
Buge Jiang,Oct 16-31,7,1,1
Buge Jiang,Nov 1-15,11,1,1
Buge Jiang,Nov 15-30,9,1,1
Buge Jiang,Dec 1-15,15,1,1
Buge Jiang,Dec 16-31,19,1,1
Buge Jiang,Jan 1-15,15,1,1
Buge Jiang,Jan 16-31,19,1,1
Buge Jiang,Feb 1-14,4,2,7
Buge Jiang,Feb 15-28,7,2,7
Buge Jiang,Mar 1-15,11,2,7
Buge Jiang,Mar 16-31,17,2,7
Buge Jiang,Apr 1-15,5,2,7
Buge Jiang,Apr 16-30,2,2,7
Buge Jiang,May 1-now,6,2,7
Chunhe Zhou,Sep 1-15,4,3,1
Chunhe Zhou,Sep 16-30,7,3,1
Chunhe Zhou,Oct 1-15,11,3,1
Chunhe Zhou,Oct 16-31,12,3,1
Chunhe Zhou,Nov 1-15,13,3,1
Chunhe Zhou,Nov 15-30,14,3,1
Chunhe Zhou,Dec 1-15,16,3,1
Chunhe Zhou,Dec 16-31,17,3,1
Chunhe Zhou,Jan 1-15,16,3,1
Chunhe Zhou,Jan 16-31,17,3,1
Chunhe Zhou,Feb 1-14,4,2,7
Chunhe Zhou,Feb 15-28,7,2,7
Chunhe Zhou,Mar 1-15,11,2,7
Chunhe Zhou,Mar 16-31,17,2,7
Chunhe Zhou,Apr 1-15,5,2,7
Chunhe Zhou,Apr 16-30,2,2,7
Chunhe Zhou,May 1-now,6,2,7
Dafnee Zambrano,Sep 1-15,3,2,8
Dafnee Zambrano,Sep 16-30,7,2,8
Dafnee Zambrano,Oct 1-15,11,2,8
Dafnee Zambrano,Oct 16-31,17,2,8
Dafnee Zambrano,Nov 1-15,16,2,8
Dafnee Zambrano,Nov 15-30,2,2,8
Dafnee Zambrano,Dec 1-15,6,2,8
Dafnee Zambrano,Dec 16-31,4,2,8
Dafnee Zambrano,Jan 1-15,6,2,8
Dafnee Zambrano,Jan 16-31,4,2,8
Dafnee Zambrano,Feb 1-14,4,2,7
Dafnee Zambrano,Feb 15-28,7,2,7
Dafnee Zambrano,Mar 1-15,11,2,7
Dafnee Zambrano,Mar 16-31,17,2,7
Dafnee Zambrano,Apr 1-15,5,2,7
Dafnee Zambrano,Apr 16-30,2,2,7
Dafnee Zambrano,May 1-now,6,2,7
Dashiell Corvin-Brittin,Sep 1-15,1,2,7
Dashiell Corvin-Brittin,Sep 16-30,8,2,7
Dashiell Corvin-Brittin,Oct 1-15,9,2,7
Dashiell Corvin-Brittin,Oct 16-31,3,2,7
Dashiell Corvin-Brittin,Nov 1-15,12,2,7
Dashiell Corvin-Brittin,Nov 15-30,2,2,7
Dashiell Corvin-Brittin,Dec 1-15,13,2,7
Dashiell Corvin-Brittin,Dec 16-31,10,2,7
Dashiell Corvin-Brittin,Jan 1-15,13,2,7
Dashiell Corvin-Brittin,Jan 16-31,10,2,7
Dashiell Corvin-Brittin,Feb 1-14,4,2,7
